,name,strand,Assay title,ontology_curie,biosample_name,biosample_type,biosample_life_stage,data_source,endedness,genetically_modified,nonzero_mean,output_type,gtex_tissue,histone_mark,transcription_factor
13,UBERON:0002048 ATAC-seq,.,ATAC-seq,UBERON:0002048,lung,tissue,embryonic,encode,paired,False,1.0387475490570068,OutputType.ATAC,,,
14,UBERON:0002101 ATAC-seq,.,ATAC-seq,UBERON:0002101,limb,tissue,embryonic,encode,paired,False,0.7174459099769592,OutputType.ATAC,,,
15,UBERON:0002107 ATAC-seq,.,ATAC-seq,UBERON:0002107,liver,tissue,embryonic,encode,paired,False,0.5489131808280945,OutputType.ATAC,,,
16,UBERON:0002113 ATAC-seq,.,ATAC-seq,UBERON:0002113,kidney,tissue,embryonic,encode,paired,False,1.0087496042251587,OutputType.ATAC,,,
17,UBERON:0012314 ATAC-seq,.,ATAC-seq,UBERON:0012314,embryonic facial prominence,tissue,embryonic,encode,paired,False,1.3096507787704468,OutputType.ATAC,,,
0,LQhCAGE CL:0000355,+,LQhCAGE,CL:0000355,multi-potent skeletal muscle stem cell,primary_cell,,fantom,,,49.478206634521484,OutputType.CAGE,,,
1,LQhCAGE CL:0000589,+,LQhCAGE,CL:0000589,cochlear inner hair cell,primary_cell,,fantom,,,57.94036102294922,OutputType.CAGE,,,
2,LQhCAGE CL:0000682,+,LQhCAGE,CL:0000682,M cell of gut,primary_cell,,fantom,,,62.229248046875,OutputType.CAGE,,,
3,LQhCAGE CL:0002250,+,LQhCAGE,CL:0002250,intestinal crypt stem cell,primary_cell,,fantom,,,46.342159271240234,OutputType.CAGE,,,
4,LQhCAGE CL:0002490,+,LQhCAGE,CL:0002490,organ of Corti supporting cell,primary_cell,,fantom,,,53.68474578857422,OutputType.CAGE,,,
5,LQhCAGE CL:0002679,+,LQhCAGE,CL:0002679,natural helper lymphocyte,primary_cell,,fantom,,,6.804821968078613,OutputType.CAGE,,,
6,LQhCAGE UBERON:0001846,+,LQhCAGE,UBERON:0001846,internal ear,primary_cell,,fantom,,,57.7681999206543,OutputType.CAGE,,,
7,LQhCAGE UBERON:0008345,+,LQhCAGE,UBERON:0008345,ileal epithelium,primary_cell,,fantom,,,113.61090087890625,OutputType.CAGE,,,
8,hCAGE CL:0000057,+,hCAGE,CL:0000057,fibroblast,primary_cell,,fantom,,,91.2072982788086,OutputType.CAGE,,,
9,hCAGE CL:0000120,+,hCAGE,CL:0000120,granule cell,primary_cell,,fantom,,,52.36367416381836,OutputType.CAGE,,,
10,hCAGE CL:0000127,+,hCAGE,CL:0000127,astrocyte,primary_cell,,fantom,,,50.04389190673828,OutputType.CAGE,,,
11,hCAGE CL:0000129,+,hCAGE,CL:0000129,microglial cell,primary_cell,,fantom,,,69.32666778564453,OutputType.CAGE,,,
12,hCAGE CL:0000182,+,hCAGE,CL:0000182,hepatocyte,primary_cell,,fantom,,,22.757858276367188,OutputType.CAGE,,,
13,hCAGE CL:0000556,+,hCAGE,CL:0000556,megakaryocyte,primary_cell,,fantom,,,30.92711067199707,OutputType.CAGE,,,
14,hCAGE CL:0000584,+,hCAGE,CL:0000584,enterocyte,primary_cell,,fantom,,,79.27253723144531,OutputType.CAGE,,,
15,hCAGE CL:0000708,+,hCAGE,CL:0000708,leptomeningeal cell,primary_cell,,fantom,,,39.985084533691406,OutputType.CAGE,,,
16,hCAGE CL:0000746,+,hCAGE,CL:0000746,cardiac muscle cell,primary_cell,,fantom,,,45.31012725830078,OutputType.CAGE,,,
17,hCAGE CL:0000792,+,hCAGE,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",primary_cell,,fantom,,,32.39649200439453,OutputType.CAGE,,,
18,hCAGE CL:0000815,+,hCAGE,CL:0000815,regulatory T cell,primary_cell,,fantom,,,22.00554084777832,OutputType.CAGE,,,
19,hCAGE CL:0000895,+,hCAGE,CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",primary_cell,,fantom,,,14.649805068969727,OutputType.CAGE,,,
20,hCAGE CL:0002027,+,hCAGE,CL:0002027,"CD9-positive, CD41-positive megakaryocyte cell",primary_cell,,fantom,,,34.76072311401367,OutputType.CAGE,,,
21,hCAGE CL:0002476,+,hCAGE,CL:0002476,bone marrow macrophage,primary_cell,,fantom,,,69.98207092285156,OutputType.CAGE,,,
22,hCAGE CL:0002518,+,hCAGE,CL:0002518,kidney epithelial cell,primary_cell,,fantom,,,72.04950714111328,OutputType.CAGE,,,
23,hCAGE CL:0002539,+,hCAGE,CL:0002539,aortic smooth muscle cell,primary_cell,,fantom,,,26.27273941040039,OutputType.CAGE,,,
24,hCAGE CL:0002540,+,hCAGE,CL:0002540,mesenchymal stem cell of the bone marrow,primary_cell,,fantom,,,92.870849609375,OutputType.CAGE,,,
25,hCAGE CL:0002573,+,hCAGE,CL:0002573,Schwann cell,primary_cell,,fantom,,,29.621335983276367,OutputType.CAGE,,,
26,hCAGE CL:0002603,+,hCAGE,CL:0002603,astrocyte of the cerebellum,primary_cell,,fantom,,,90.2088851928711,OutputType.CAGE,,,
27,hCAGE CL:0002604,+,hCAGE,CL:0002604,astrocyte of the hippocampus,primary_cell,,fantom,,,62.07029342651367,OutputType.CAGE,,,
28,hCAGE CL:0002608,+,hCAGE,CL:0002608,hippocampal neuron,primary_cell,,fantom,,,33.78767013549805,OutputType.CAGE,,,
29,hCAGE CL:0002609,+,hCAGE,CL:0002609,neuron of cerebral cortex,primary_cell,,fantom,,,27.1795654296875,OutputType.CAGE,,,
30,hCAGE CL:0002610,+,hCAGE,CL:0002610,raphe nuclei neuron,primary_cell,,fantom,,,21.32048797607422,OutputType.CAGE,,,
31,hCAGE CL:0002611,+,hCAGE,CL:0002611,neuron of the dorsal spinal cord,primary_cell,,fantom,,,46.089534759521484,OutputType.CAGE,,,
32,hCAGE CL:0002612,+,hCAGE,CL:0002612,neuron of the ventral spinal cord,primary_cell,,fantom,,,21.191984176635742,OutputType.CAGE,,,
33,hCAGE CL:0002613,+,hCAGE,CL:0002613,striatum neuron,primary_cell,,fantom,,,28.230087280273438,OutputType.CAGE,,,
34,hCAGE CL:0002614,+,hCAGE,CL:0002614,neuron of the substantia nigra,primary_cell,,fantom,,,19.907123565673828,OutputType.CAGE,,,
35,hCAGE CL:0002679,+,hCAGE,CL:0002679,natural helper lymphocyte,primary_cell,,fantom,,,20.598215103149414,OutputType.CAGE,,,
36,hCAGE UBERON:0000007,+,hCAGE,UBERON:0000007,pituitary gland,tissue,,fantom,,,13.59722900390625,OutputType.CAGE,,,
37,hCAGE UBERON:0000011,+,hCAGE,UBERON:0000011,parasympathetic nervous system,primary_cell,,fantom,,,35.16954040527344,OutputType.CAGE,,,
38,hCAGE UBERON:0000013,+,hCAGE,UBERON:0000013,sympathetic nervous system,primary_cell,,fantom,,,39.30926513671875,OutputType.CAGE,,,
39,hCAGE UBERON:0000014,+,hCAGE,UBERON:0000014,zone of skin,tissue,,fantom,,,14.24133586883545,OutputType.CAGE,,,
40,hCAGE UBERON:0000160,+,hCAGE,UBERON:0000160,intestine,tissue,,fantom,,,8.15291690826416,OutputType.CAGE,,,
41,hCAGE UBERON:0000305,+,hCAGE,UBERON:0000305,amnion,tissue,,fantom,,,73.255126953125,OutputType.CAGE,,,
42,hCAGE UBERON:0000369,+,hCAGE,UBERON:0000369,corpus striatum,tissue,,fantom,,,35.71754455566406,OutputType.CAGE,,,
43,hCAGE UBERON:0000395,+,hCAGE,UBERON:0000395,cochlear ganglion,primary_cell,,fantom,,,3821.564208984375,OutputType.CAGE,,,
44,hCAGE UBERON:0000411,+,hCAGE,UBERON:0000411,visual cortex,tissue,,fantom,,,4.5925612449646,OutputType.CAGE,,,
45,hCAGE UBERON:0000468,+,hCAGE,UBERON:0000468,multi-cellular organism,tissue,,fantom,,,9.044567108154297,OutputType.CAGE,,,
46,hCAGE UBERON:0000473,+,hCAGE,UBERON:0000473,testis,tissue,,fantom,,,7.334458351135254,OutputType.CAGE,,,
47,hCAGE UBERON:0000945,+,hCAGE,UBERON:0000945,stomach,tissue,,fantom,,,7.963135719299316,OutputType.CAGE,,,
48,hCAGE UBERON:0000947,+,hCAGE,UBERON:0000947,aorta,tissue,,fantom,,,61.97950744628906,OutputType.CAGE,,,
49,hCAGE UBERON:0000948,+,hCAGE,UBERON:0000948,heart,tissue,,fantom,,,5.25787353515625,OutputType.CAGE,,,
50,hCAGE UBERON:0000956,+,hCAGE,UBERON:0000956,cerebral cortex,tissue,,fantom,,,31.38684844970703,OutputType.CAGE,,,
51,hCAGE UBERON:0000981,+,hCAGE,UBERON:0000981,femur,tissue,,fantom,,,10.422715187072754,OutputType.CAGE,,,
52,hCAGE UBERON:0000991,+,hCAGE,UBERON:0000991,gonad,tissue,,fantom,,,69.94966888427734,OutputType.CAGE,,,
53,hCAGE UBERON:0000992,+,hCAGE,UBERON:0000992,female gonad,tissue,,fantom,,,26.524761199951172,OutputType.CAGE,,,
54,hCAGE UBERON:0000993,+,hCAGE,UBERON:0000993,oviduct,tissue,,fantom,,,53.84820556640625,OutputType.CAGE,,,
55,hCAGE UBERON:0000995,+,hCAGE,UBERON:0000995,uterus,tissue,,fantom,,,33.440982818603516,OutputType.CAGE,,,
56,hCAGE UBERON:0000996,+,hCAGE,UBERON:0000996,vagina,tissue,,fantom,,,74.36053466796875,OutputType.CAGE,,,
57,hCAGE UBERON:0001097,+,hCAGE,UBERON:0001097,axillary lymph node,tissue,,fantom,,,86.48149871826172,OutputType.CAGE,,,
58,hCAGE UBERON:0001153,+,hCAGE,UBERON:0001153,caecum,tissue,,fantom,,,397.7181396484375,OutputType.CAGE,,,
59,hCAGE UBERON:0001155,+,hCAGE,UBERON:0001155,colon,tissue,,fantom,,,71.37411499023438,OutputType.CAGE,,,
60,hCAGE UBERON:0001242,+,hCAGE,UBERON:0001242,intestinal mucosa,tissue,,fantom,,,95.13166046142578,OutputType.CAGE,,,
61,hCAGE UBERON:0001255,+,hCAGE,UBERON:0001255,urinary bladder,tissue,,fantom,,,75.3057632446289,OutputType.CAGE,,,
62,hCAGE UBERON:0001264,+,hCAGE,UBERON:0001264,pancreas,tissue,,fantom,,,17.0159854888916,OutputType.CAGE,,,
63,hCAGE UBERON:0001301,+,hCAGE,UBERON:0001301,epididymis,tissue,,fantom,,,77.7811050415039,OutputType.CAGE,,,
64,hCAGE UBERON:0001343,+,hCAGE,UBERON:0001343,seminiferous tubule of testis,tissue,,fantom,,,23.197002410888672,OutputType.CAGE,,,
65,hCAGE UBERON:0001374,+,hCAGE,UBERON:0001374,biceps femoris,tissue,,fantom,,,80.46160125732422,OutputType.CAGE,,,
66,hCAGE UBERON:0001723,+,hCAGE,UBERON:0001723,tongue,tissue,,fantom,,,82.55242156982422,OutputType.CAGE,,,
67,hCAGE UBERON:0001736,+,hCAGE,UBERON:0001736,submandibular gland,tissue,,fantom,,,83.95292663574219,OutputType.CAGE,,,
68,hCAGE UBERON:0001846,+,hCAGE,UBERON:0001846,internal ear,primary_cell,,fantom,,,79.36322784423828,OutputType.CAGE,,,
69,hCAGE UBERON:0001894,+,hCAGE,UBERON:0001894,diencephalon,tissue,,fantom,,,30.838457107543945,OutputType.CAGE,,,
70,hCAGE UBERON:0001896,+,hCAGE,UBERON:0001896,medulla oblongata,tissue,,fantom,,,26.781517028808594,OutputType.CAGE,,,
71,hCAGE UBERON:0001911,+,hCAGE,UBERON:0001911,mammary gland,tissue,,fantom,,,72.1780014038086,OutputType.CAGE,,,
72,hCAGE UBERON:0001954,+,hCAGE,UBERON:0001954,Ammon's horn,tissue,,fantom,,,26.506803512573242,OutputType.CAGE,,,
73,hCAGE UBERON:0001962,+,hCAGE,UBERON:0001962,gut-associated lymphoid tissue,tissue,,fantom,,,77.3522720336914,OutputType.CAGE,,,
74,hCAGE UBERON:0001987,+,hCAGE,UBERON:0001987,placenta,tissue,,fantom,,,41.490516662597656,OutputType.CAGE,,,
75,hCAGE UBERON:0002005,+,hCAGE,UBERON:0002005,enteric nervous system,primary_cell,,fantom,,,34.88301467895508,OutputType.CAGE,,,
76,hCAGE UBERON:0002037,+,hCAGE,UBERON:0002037,cerebellum,tissue,,fantom,,,1.4653372764587402,OutputType.CAGE,,,
77,hCAGE UBERON:0002048,+,hCAGE,UBERON:0002048,lung,tissue,,fantom,,,6.049432277679443,OutputType.CAGE,,,
78,hCAGE UBERON:0002102,+,hCAGE,UBERON:0002102,forelimb,tissue,,fantom,,,15.342677116394043,OutputType.CAGE,,,
79,hCAGE UBERON:0002106,+,hCAGE,UBERON:0002106,spleen,tissue,,fantom,,,13.4484224319458,OutputType.CAGE,,,
80,hCAGE UBERON:0002107,+,hCAGE,UBERON:0002107,liver,tissue,,fantom,,,9.106996536254883,OutputType.CAGE,,,
81,hCAGE UBERON:0002108,+,hCAGE,UBERON:0002108,small intestine,tissue,,fantom,,,71.61956787109375,OutputType.CAGE,,,
82,hCAGE UBERON:0002113,+,hCAGE,UBERON:0002113,kidney,tissue,,fantom,,,6.424317836761475,OutputType.CAGE,,,
83,hCAGE UBERON:0002240,+,hCAGE,UBERON:0002240,spinal cord,tissue,,fantom,,,51.35317611694336,OutputType.CAGE,,,
84,hCAGE UBERON:0002259,+,hCAGE,UBERON:0002259,corpora quadrigemina,tissue,,fantom,,,46.70258712768555,OutputType.CAGE,,,
85,hCAGE UBERON:0002367,+,hCAGE,UBERON:0002367,prostate gland,tissue,,fantom,,,105.76006317138672,OutputType.CAGE,,,
86,hCAGE UBERON:0002369,+,hCAGE,UBERON:0002369,adrenal gland,tissue,,fantom,,,14.322134971618652,OutputType.CAGE,,,
87,hCAGE UBERON:0002370,+,hCAGE,UBERON:0002370,thymus,tissue,,fantom,,,5.422027587890625,OutputType.CAGE,,,
88,hCAGE UBERON:0002371,+,hCAGE,UBERON:0002371,bone marrow,primary_cell,,fantom,,,25.596548080444336,OutputType.CAGE,,,
89,hCAGE UBERON:0003199,+,hCAGE,UBERON:0003199,egg chamber,tissue,,fantom,,,96.21967315673828,OutputType.CAGE,,,
90,hCAGE UBERON:0005366,+,hCAGE,UBERON:0005366,olfactory lobe,tissue,,fantom,,,69.50517272949219,OutputType.CAGE,,,
91,hCAGE UBERON:0007194,+,hCAGE,UBERON:0007194,vesicular gland,tissue,,fantom,,,154.35504150390625,OutputType.CAGE,,,
92,hCAGE UBERON:0008345,+,hCAGE,UBERON:0008345,ileal epithelium,tissue,,fantom,,,85.81440734863281,OutputType.CAGE,,,
93,hCAGE UBERON:0010230,+,hCAGE,UBERON:0010230,eyeball of camera-type eye,tissue,,fantom,,,6.391802787780762,OutputType.CAGE,,,
94,LQhCAGE CL:0000355,-,LQhCAGE,CL:0000355,multi-potent skeletal muscle stem cell,primary_cell,,fantom,,,49.478206634521484,OutputType.CAGE,,,
95,LQhCAGE CL:0000589,-,LQhCAGE,CL:0000589,cochlear inner hair cell,primary_cell,,fantom,,,57.94036102294922,OutputType.CAGE,,,
96,LQhCAGE CL:0000682,-,LQhCAGE,CL:0000682,M cell of gut,primary_cell,,fantom,,,62.229248046875,OutputType.CAGE,,,
97,LQhCAGE CL:0002250,-,LQhCAGE,CL:0002250,intestinal crypt stem cell,primary_cell,,fantom,,,46.342159271240234,OutputType.CAGE,,,
98,LQhCAGE CL:0002490,-,LQhCAGE,CL:0002490,organ of Corti supporting cell,primary_cell,,fantom,,,53.68474578857422,OutputType.CAGE,,,
99,LQhCAGE CL:0002679,-,LQhCAGE,CL:0002679,natural helper lymphocyte,primary_cell,,fantom,,,6.804821968078613,OutputType.CAGE,,,
100,LQhCAGE UBERON:0001846,-,LQhCAGE,UBERON:0001846,internal ear,primary_cell,,fantom,,,57.7681999206543,OutputType.CAGE,,,
101,LQhCAGE UBERON:0008345,-,LQhCAGE,UBERON:0008345,ileal epithelium,primary_cell,,fantom,,,113.61090087890625,OutputType.CAGE,,,
102,hCAGE CL:0000057,-,hCAGE,CL:0000057,fibroblast,primary_cell,,fantom,,,91.2072982788086,OutputType.CAGE,,,
103,hCAGE CL:0000120,-,hCAGE,CL:0000120,granule cell,primary_cell,,fantom,,,52.36367416381836,OutputType.CAGE,,,
104,hCAGE CL:0000127,-,hCAGE,CL:0000127,astrocyte,primary_cell,,fantom,,,50.04389190673828,OutputType.CAGE,,,
105,hCAGE CL:0000129,-,hCAGE,CL:0000129,microglial cell,primary_cell,,fantom,,,69.32666778564453,OutputType.CAGE,,,
106,hCAGE CL:0000182,-,hCAGE,CL:0000182,hepatocyte,primary_cell,,fantom,,,22.757858276367188,OutputType.CAGE,,,
107,hCAGE CL:0000556,-,hCAGE,CL:0000556,megakaryocyte,primary_cell,,fantom,,,30.92711067199707,OutputType.CAGE,,,
108,hCAGE CL:0000584,-,hCAGE,CL:0000584,enterocyte,primary_cell,,fantom,,,79.27253723144531,OutputType.CAGE,,,
109,hCAGE CL:0000708,-,hCAGE,CL:0000708,leptomeningeal cell,primary_cell,,fantom,,,39.985084533691406,OutputType.CAGE,,,
110,hCAGE CL:0000746,-,hCAGE,CL:0000746,cardiac muscle cell,primary_cell,,fantom,,,45.31012725830078,OutputType.CAGE,,,
111,hCAGE CL:0000792,-,hCAGE,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",primary_cell,,fantom,,,32.39649200439453,OutputType.CAGE,,,
112,hCAGE CL:0000815,-,hCAGE,CL:0000815,regulatory T cell,primary_cell,,fantom,,,22.00554084777832,OutputType.CAGE,,,
113,hCAGE CL:0000895,-,hCAGE,CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",primary_cell,,fantom,,,14.649805068969727,OutputType.CAGE,,,
114,hCAGE CL:0002027,-,hCAGE,CL:0002027,"CD9-positive, CD41-positive megakaryocyte cell",primary_cell,,fantom,,,34.76072311401367,OutputType.CAGE,,,
115,hCAGE CL:0002476,-,hCAGE,CL:0002476,bone marrow macrophage,primary_cell,,fantom,,,69.98207092285156,OutputType.CAGE,,,
116,hCAGE CL:0002518,-,hCAGE,CL:0002518,kidney epithelial cell,primary_cell,,fantom,,,72.04950714111328,OutputType.CAGE,,,
117,hCAGE CL:0002539,-,hCAGE,CL:0002539,aortic smooth muscle cell,primary_cell,,fantom,,,26.27273941040039,OutputType.CAGE,,,
118,hCAGE CL:0002540,-,hCAGE,CL:0002540,mesenchymal stem cell of the bone marrow,primary_cell,,fantom,,,92.870849609375,OutputType.CAGE,,,
119,hCAGE CL:0002573,-,hCAGE,CL:0002573,Schwann cell,primary_cell,,fantom,,,29.621335983276367,OutputType.CAGE,,,
120,hCAGE CL:0002603,-,hCAGE,CL:0002603,astrocyte of the cerebellum,primary_cell,,fantom,,,90.2088851928711,OutputType.CAGE,,,
121,hCAGE CL:0002604,-,hCAGE,CL:0002604,astrocyte of the hippocampus,primary_cell,,fantom,,,62.07029342651367,OutputType.CAGE,,,
122,hCAGE CL:0002608,-,hCAGE,CL:0002608,hippocampal neuron,primary_cell,,fantom,,,33.78767013549805,OutputType.CAGE,,,
123,hCAGE CL:0002609,-,hCAGE,CL:0002609,neuron of cerebral cortex,primary_cell,,fantom,,,27.1795654296875,OutputType.CAGE,,,
124,hCAGE CL:0002610,-,hCAGE,CL:0002610,raphe nuclei neuron,primary_cell,,fantom,,,21.32048797607422,OutputType.CAGE,,,
125,hCAGE CL:0002611,-,hCAGE,CL:0002611,neuron of the dorsal spinal cord,primary_cell,,fantom,,,46.089534759521484,OutputType.CAGE,,,
126,hCAGE CL:0002612,-,hCAGE,CL:0002612,neuron of the ventral spinal cord,primary_cell,,fantom,,,21.191984176635742,OutputType.CAGE,,,
127,hCAGE CL:0002613,-,hCAGE,CL:0002613,striatum neuron,primary_cell,,fantom,,,28.230087280273438,OutputType.CAGE,,,
128,hCAGE CL:0002614,-,hCAGE,CL:0002614,neuron of the substantia nigra,primary_cell,,fantom,,,19.907123565673828,OutputType.CAGE,,,
129,hCAGE CL:0002679,-,hCAGE,CL:0002679,natural helper lymphocyte,primary_cell,,fantom,,,20.598215103149414,OutputType.CAGE,,,
130,hCAGE UBERON:0000007,-,hCAGE,UBERON:0000007,pituitary gland,tissue,,fantom,,,13.59722900390625,OutputType.CAGE,,,
131,hCAGE UBERON:0000011,-,hCAGE,UBERON:0000011,parasympathetic nervous system,primary_cell,,fantom,,,35.16954040527344,OutputType.CAGE,,,
132,hCAGE UBERON:0000013,-,hCAGE,UBERON:0000013,sympathetic nervous system,primary_cell,,fantom,,,39.30926513671875,OutputType.CAGE,,,
133,hCAGE UBERON:0000014,-,hCAGE,UBERON:0000014,zone of skin,tissue,,fantom,,,14.24133586883545,OutputType.CAGE,,,
134,hCAGE UBERON:0000160,-,hCAGE,UBERON:0000160,intestine,tissue,,fantom,,,8.15291690826416,OutputType.CAGE,,,
135,hCAGE UBERON:0000305,-,hCAGE,UBERON:0000305,amnion,tissue,,fantom,,,73.255126953125,OutputType.CAGE,,,
136,hCAGE UBERON:0000369,-,hCAGE,UBERON:0000369,corpus striatum,tissue,,fantom,,,35.71754455566406,OutputType.CAGE,,,
137,hCAGE UBERON:0000395,-,hCAGE,UBERON:0000395,cochlear ganglion,primary_cell,,fantom,,,3821.564208984375,OutputType.CAGE,,,
138,hCAGE UBERON:0000411,-,hCAGE,UBERON:0000411,visual cortex,tissue,,fantom,,,4.5925612449646,OutputType.CAGE,,,
139,hCAGE UBERON:0000468,-,hCAGE,UBERON:0000468,multi-cellular organism,tissue,,fantom,,,9.044567108154297,OutputType.CAGE,,,
140,hCAGE UBERON:0000473,-,hCAGE,UBERON:0000473,testis,tissue,,fantom,,,7.334458351135254,OutputType.CAGE,,,
141,hCAGE UBERON:0000945,-,hCAGE,UBERON:0000945,stomach,tissue,,fantom,,,7.963135719299316,OutputType.CAGE,,,
142,hCAGE UBERON:0000947,-,hCAGE,UBERON:0000947,aorta,tissue,,fantom,,,61.97950744628906,OutputType.CAGE,,,
143,hCAGE UBERON:0000948,-,hCAGE,UBERON:0000948,heart,tissue,,fantom,,,5.25787353515625,OutputType.CAGE,,,
144,hCAGE UBERON:0000956,-,hCAGE,UBERON:0000956,cerebral cortex,tissue,,fantom,,,31.38684844970703,OutputType.CAGE,,,
145,hCAGE UBERON:0000981,-,hCAGE,UBERON:0000981,femur,tissue,,fantom,,,10.422715187072754,OutputType.CAGE,,,
146,hCAGE UBERON:0000991,-,hCAGE,UBERON:0000991,gonad,tissue,,fantom,,,69.94966888427734,OutputType.CAGE,,,
147,hCAGE UBERON:0000992,-,hCAGE,UBERON:0000992,female gonad,tissue,,fantom,,,26.524761199951172,OutputType.CAGE,,,
148,hCAGE UBERON:0000993,-,hCAGE,UBERON:0000993,oviduct,tissue,,fantom,,,53.84820556640625,OutputType.CAGE,,,
149,hCAGE UBERON:0000995,-,hCAGE,UBERON:0000995,uterus,tissue,,fantom,,,33.440982818603516,OutputType.CAGE,,,
150,hCAGE UBERON:0000996,-,hCAGE,UBERON:0000996,vagina,tissue,,fantom,,,74.36053466796875,OutputType.CAGE,,,
151,hCAGE UBERON:0001097,-,hCAGE,UBERON:0001097,axillary lymph node,tissue,,fantom,,,86.48149871826172,OutputType.CAGE,,,
152,hCAGE UBERON:0001153,-,hCAGE,UBERON:0001153,caecum,tissue,,fantom,,,397.7181396484375,OutputType.CAGE,,,
153,hCAGE UBERON:0001155,-,hCAGE,UBERON:0001155,colon,tissue,,fantom,,,71.37411499023438,OutputType.CAGE,,,
154,hCAGE UBERON:0001242,-,hCAGE,UBERON:0001242,intestinal mucosa,tissue,,fantom,,,95.13166046142578,OutputType.CAGE,,,
155,hCAGE UBERON:0001255,-,hCAGE,UBERON:0001255,urinary bladder,tissue,,fantom,,,75.3057632446289,OutputType.CAGE,,,
156,hCAGE UBERON:0001264,-,hCAGE,UBERON:0001264,pancreas,tissue,,fantom,,,17.0159854888916,OutputType.CAGE,,,
157,hCAGE UBERON:0001301,-,hCAGE,UBERON:0001301,epididymis,tissue,,fantom,,,77.7811050415039,OutputType.CAGE,,,
158,hCAGE UBERON:0001343,-,hCAGE,UBERON:0001343,seminiferous tubule of testis,tissue,,fantom,,,23.197002410888672,OutputType.CAGE,,,
159,hCAGE UBERON:0001374,-,hCAGE,UBERON:0001374,biceps femoris,tissue,,fantom,,,80.46160125732422,OutputType.CAGE,,,
160,hCAGE UBERON:0001723,-,hCAGE,UBERON:0001723,tongue,tissue,,fantom,,,82.55242156982422,OutputType.CAGE,,,
161,hCAGE UBERON:0001736,-,hCAGE,UBERON:0001736,submandibular gland,tissue,,fantom,,,83.95292663574219,OutputType.CAGE,,,
162,hCAGE UBERON:0001846,-,hCAGE,UBERON:0001846,internal ear,primary_cell,,fantom,,,79.36322784423828,OutputType.CAGE,,,
163,hCAGE UBERON:0001894,-,hCAGE,UBERON:0001894,diencephalon,tissue,,fantom,,,30.838457107543945,OutputType.CAGE,,,
164,hCAGE UBERON:0001896,-,hCAGE,UBERON:0001896,medulla oblongata,tissue,,fantom,,,26.781517028808594,OutputType.CAGE,,,
165,hCAGE UBERON:0001911,-,hCAGE,UBERON:0001911,mammary gland,tissue,,fantom,,,72.1780014038086,OutputType.CAGE,,,
166,hCAGE UBERON:0001954,-,hCAGE,UBERON:0001954,Ammon's horn,tissue,,fantom,,,26.506803512573242,OutputType.CAGE,,,
167,hCAGE UBERON:0001962,-,hCAGE,UBERON:0001962,gut-associated lymphoid tissue,tissue,,fantom,,,77.3522720336914,OutputType.CAGE,,,
